date,description,debit,credit,balance,category
13/08/18,"{'date': '13/08/18', 'debit': 50.0, 'credit': 0.0}",13.0,0.0,0,food_dining
13/08/18,"{'date': '13/08/18', 'debit': 0.0, 'credit': 20.29}",0.0,20.29,0,other
14/08/18,"{'date': '14/08/18', 'debit': 1305.0, 'credit': 0.0}",14.0,0.0,0,food_dining
14/08/18,"{'date': '14/08/18', 'debit': 931.0, 'credit': 0.0}",14.0,0.0,0,food_dining
15/08/18,"{'date': '15/08/18', 'debit': 10000.0, 'credit': 0.0}",15.0,0.0,0,food_dining
16/08/18,"{'date': '16/08/18', 'debit': 14000.0, 'credit': 0.0}",16.0,0.0,0,food_dining
17/08/18,"{'date': '17/08/18', 'debit': 2800.52, 'credit': 0.0}",17.0,0.0,0,food_dining
18/08/18,"{'date': '18/08/18', 'debit': 410.0, 'credit': 0.0}",18.0,0.0,0,food_dining
18/08/18,"{'date': '18/08/18', 'debit': 8400.0, 'credit': 0.0}",18.0,0.0,0,food_dining
18/08/18,"{'date': '18/08/18', 'debit': 8296.0, 'credit': 0.0}",18.0,0.0,0,food_dining
18/08/18,"{'date': '18/08/18', 'debit': 11610.0, 'credit': 0.0}",18.0,0.0,0,food_dining
19/08/18,"{'date': '19/08/18', 'debit': 412.0, 'credit': 0.0}",19.0,0.0,0,food_dining
20/08/18,"{'date': '20/08/18', 'debit': 0.0, 'credit': 21.0}",0.0,21.0,0,other
21/08/18,"{'date': '21/08/18', 'debit': 0.0, 'credit': 0.0}",21.0,0.0,0,food_dining
22/08/18,"{'date': '22/08/18', 'debit': 10000.0, 'credit': 0.0}",22.0,0.0,0,food_dining
23/08/18,"{'date': '23/08/18', 'debit': 18777.0, 'credit': 0.0}",23.0,0.0,0,food_dining
23/08/18,"{'date': '23/08/18', 'debit': 685.0, 'credit': 0.0}",23.0,0.0,0,food_dining
23/08/18,"{'date': '23/08/18', 'debit': 126.0, 'credit': 0.0}",23.0,0.0,0,food_dining
24/08/18,"{'date': '24/08/18', 'debit': 0.0, 'credit': 0.0}",24.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 548.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 399.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 445.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 764.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 386.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 772.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 10000.0, 'credit': 0.0}",25.0,0.0,0,food_dining
25/08/18,"{'date': '25/08/18', 'debit': 10000.0, 'credit': 0.0}",25.0,0.0,0,food_dining
26/08/18,"{'date': '26/08/18', 'debit': 0.0, 'credit': 0.0}",26.0,0.0,0,food_dining
27/08/18,"{'date': '27/08/18', 'debit': 2949.49, 'credit': 0.0}",27.0,0.0,0,food_dining
28/08/18,"{'date': '28/08/18', 'debit': 0.0, 'credit': 0.0}",28.0,0.0,0,food_dining
29/08/18,"{'date': '29/08/18', 'debit': 1380.0, 'credit': 0.0}",29.0,0.0,0,food_dining
30/08/18,"{'date': '30/08/18', 'debit': 0.0, 'credit': 22.12}",30.0,0.0,0,food_dining
30/08/18,"{'date': '30/08/18', 'debit': 3300.0, 'credit': 0.0}",30.0,0.0,0,food_dining
31/08/18,"{'date': '31/08/18', 'debit': 892.5, 'credit': 0.0}",31.0,0.0,0,food_dining
31/08/18,"{'date': '31/08/18', 'debit': 590.0, 'credit': 0.0}",31.0,0.0,0,food_dining
31/08/18,"{'date': '31/08/18', 'debit': 0.0, 'credit': 250254.0}",0.0,250254.0,0,salary_income
31/08/18,"{'date': '31/08/18', 'debit': 340.0, 'credit': 0.0}",31.0,0.0,0,food_dining
1/9/2018,"{'date': '1/9/2018', 'debit': 200.0, 'credit': 0.0}",1.0,0.0,0,food_dining
1/9/2018,"{'date': '1/9/2018', 'debit': 33.5, 'credit': 0.0}",1.0,0.0,0,food_dining
1/9/2018,"{'date': '1/9/2018', 'debit': 830.0, 'credit': 0.0}",1.0,0.0,0,food_dining
2/9/2018,"{'date': '2/9/2018', 'debit': 0.0, 'credit': 0.0}",2.0,0.0,0,food_dining
3/9/2018,"{'date': '3/9/2018', 'debit': 0.0, 'credit': 0.0}",3.0,0.0,0,food_dining
4/9/2018,"{'date': '4/9/2018', 'debit': 0.0, 'credit': 0.0}",4.0,0.0,0,food_dining
5/9/2018,"{'date': '5/9/2018', 'debit': 0.0, 'credit': 0.0}",5.0,0.0,0,food_dining
6/9/2018,"{'date': '6/9/2018', 'debit': 2880.09, 'credit': 0.0}",6.0,0.0,0,food_dining
7/9/2018,"{'date': '7/9/2018', 'debit': 0.0, 'credit': 0.0}",7.0,0.0,0,food_dining
8/9/2018,"{'date': '8/9/2018', 'debit': 10000.0, 'credit': 0.0}",8.0,0.0,0,food_dining
8/9/2018,"{'date': '8/9/2018', 'debit': 10000.0, 'credit': 0.0}",8.0,0.0,0,food_dining
8/9/2018,"{'date': '8/9/2018', 'debit': 3257.0, 'credit': 0.0}",8.0,0.0,0,food_dining
9/9/2018,"{'date': '9/9/2018', 'debit': 0.0, 'credit': 0.0}",9.0,0.0,0,food_dining
10/9/2018,"{'date': '10/9/2018', 'debit': 20000.0, 'credit': 0.0}",10.0,0.0,0,food_dining
11/9/2018,"{'date': '11/9/2018', 'debit': 202.19, 'credit': 0.0}",11.0,0.0,0,food_dining
12/9/2018,"{'date': '12/9/2018', 'debit': 0.0, 'credit': 0.0}",12.0,0.0,0,food_dining
13/09/18,"{'date': '13/09/18', 'debit': 0.0, 'credit': 0.0}",13.0,0.0,0,food_dining
14/09/18,"{'date': '14/09/18', 'debit': 0.0, 'credit': 0.0}",14.0,0.0,0,food_dining
15/09/18,"{'date': '15/09/18', 'debit': 243.66, 'credit': 0.0}",15.0,0.0,0,food_dining
15/09/18,"{'date': '15/09/18', 'debit': 5089.0, 'credit': 0.0}",15.0,0.0,0,food_dining
16/09/18,"{'date': '16/09/18', 'debit': 2569.88, 'credit': 0.0}",16.0,0.0,0,food_dining
17/09/18,"{'date': '17/09/18', 'debit': 0.0, 'credit': 0.0}",17.0,0.0,0,food_dining
18/09/18,"{'date': '18/09/18', 'debit': 0.0, 'credit': 19.27}",0.0,19.27,0,other
19/09/18,"{'date': '19/09/18', 'debit': 10000.0, 'credit': 0.0}",19.0,0.0,0,food_dining
20/09/18,"{'date': '20/09/18', 'debit': 202.19, 'credit': 0.0}",20.0,0.0,0,food_dining
21/09/18,"{'date': '21/09/18', 'debit': 0.0, 'credit': 0.0}",21.0,0.0,0,food_dining
22/09/18,"{'date': '22/09/18', 'debit': 0.0, 'credit': 0.0}",22.0,0.0,0,food_dining
23/09/18,"{'date': '23/09/18', 'debit': 1000.0, 'credit': 0.0}",23.0,0.0,0,food_dining
24/09/18,"{'date': '24/09/18', 'debit': 0.0, 'credit': 0.0}",24.0,0.0,0,food_dining
25/09/18,"{'date': '25/09/18', 'debit': 0.0, 'credit': 0.0}",25.0,0.0,0,food_dining
26/09/18,"{'date': '26/09/18', 'debit': 0.0, 'credit': 2250.0}",0.0,2250.0,0,salary_income
26/09/18,"{'date': '26/09/18', 'debit': 3000.65, 'credit': 0.0}",26.0,0.0,0,food_dining
27/09/18,"{'date': '27/09/18', 'debit': 202.19, 'credit': 0.0}",27.0,0.0,0,food_dining
28/09/18,"{'date': '28/09/18', 'debit': 0.0, 'credit': 22.5}",28.0,0.0,0,food_dining
28/09/18,"{'date': '28/09/18', 'debit': 0.0, 'credit': 250254.0}",0.0,250254.0,0,salary_income
28/09/18,"{'date': '28/09/18', 'debit': 1869.0, 'credit': 0.0}",28.0,0.0,0,food_dining
29/09/18,"{'date': '29/09/18', 'debit': 1180.0, 'credit': 0.0}",29.0,0.0,0,food_dining
29/09/18,"{'date': '29/09/18', 'debit': 2108.0, 'credit': 0.0}",29.0,0.0,0,food_dining
29/09/18,"{'date': '29/09/18', 'debit': 202.19, 'credit': 0.0}",29.0,0.0,0,food_dining
29/09/18,"{'date': '29/09/18', 'debit': 202.19, 'credit': 0.0}",29.0,0.0,0,food_dining
30/09/18,"{'date': '30/09/18', 'debit': 1185.0, 'credit': 0.0}",30.0,0.0,0,food_dining
30/09/18,"{'date': '30/09/18', 'debit': 10000.0, 'credit': 0.0}",30.0,0.0,0,food_dining
30/09/18,"{'date': '30/09/18', 'debit': 1155.75, 'credit': 0.0}",30.0,0.0,0,food_dining
30/09/18,"{'date': '30/09/18', 'debit': 0.0, 'credit': 1673.0}",0.0,1673.0,0,salary_income
